Plant,Material,Storage location,Key,MRP Controller,MRP Type,Material type,Material Group,Val. stock,Val. stock,ValStckVal,ValStckVal,CnsgtStock,CnsgtStock,Val.Stock in May 2025,Increase
"11F2 SHP Process Complex, UT OFFSHO",220092937 RE-CIRCULATION VALVE,11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO220092937 RE-CIRCULATION VALVE11F2FN01                       SHP-Main-01",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,5339434.38,INR,0,NO,"53,39,434.38",0
"11F2 SHP Process Complex, UT OFFSHO",221445992 MAIN LUBE OIL FILTER ELEMENT,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221445992 MAIN LUBE OIL FILTER ELEMENT11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,210,NO,2804440.6,INR,0,NO,"52,14,652.37",2410211.77
"11F2 SHP Process Complex, UT OFFSHO",400001023 PIRECLA4A1T1 GAS DETECTOR EQP,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO400001023 PIRECLA4A1T1 GAS DETECTOR EQP11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,40        Fire And Safety-MOP,0,NO,0,INR,0,NO,"49,64,707.67",4964707.67
"11F2 SHP Process Complex, UT OFFSHO",220006304 JOURNAL BRG PINION END (LOC) CLOCKWISE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220006304 JOURNAL BRG PINION END (LOC) CLOCKWISE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,3,NO,4958103,INR,0,NO,"49,58,103.00",0
"11F2 SHP Process Complex, UT OFFSHO",220006305 JOURNAL BRG PINION END (LOC) COUNTER CL*,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220006305 JOURNAL BRG PINION END (LOC) COUNTER CL*11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,3,NO,4958103,INR,0,NO,"49,58,103.00",0
"11F2 SHP Process Complex, UT OFFSHO",280001446  VALVE LIFTER PIN,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO280001446  VALVE LIFTER PIN11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,28        Spare-ElectricPlant,0,NO,0,INR,0,NO,"49,41,264.62",4941264.62
"11F2 SHP Process Complex, UT OFFSHO",100000218 DEMULSIFIER LOW TEMPERATURE LOW TEMPERA*,11F2FP01                       SHP-PEL-01,"11F2 SHP Process Complex, UT OFFSHO100000218 DEMULSIFIER LOW TEMPERATURE LOW TEMPERA*11F2FP01                       SHP-PEL-01",AAS AAS,ND No planning,ZSTO ONGC Stores,10        Chemi incl mud chemi,3,MT,2434058.31,INR,0,MT,"48,62,094.01",2428035.7
"11F2 SHP Process Complex, UT OFFSHO",221445834 PRESSURE SWITCH,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO221445834 PRESSURE SWITCH11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"48,12,535.20",4812535.2
"11F2 SHP Process Complex, UT OFFSHO",400001314 UV IR SENSOR MODULE MODEL X3301 S,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO400001314 UV IR SENSOR MODULE MODEL X3301 S11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,40        Fire And Safety-MOP,0,NO,0,INR,0,NO,"47,35,056.25",4735056.25
"11F2 SHP Process Complex, UT OFFSHO","222051003 SOL V/V,INT3WAY PIL,600#RF,825PSI,24V",11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO222051003 SOL V/V,INT3WAY PIL,600#RF,825PSI,24V11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"45,06,865.20",4506865.2
